alpha,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,CL,CD
7.75,10.0,29.9,1.0,50.0,100000,0.9059,0.02945
2.25,10.0,30.0,0.0,0.0,50000,0.1029,0.02098
-11.25,15.0,30.0,2.0,40.0,1000000,-1.0157,0.01654
5.25,18.0,30.0,4.0,40.0,200000,1.0452,0.01614
6.75,24.0,29.7,2.0,40.0,200000,0.93,0.02148
8.25,24.0,30.0,0.0,0.0,50000,0.164,0.11353
0.5,10.0,29.9,1.0,50.0,50000,0.0083,0.01897
-9.25,21.0,30.0,4.0,40.0,100000,-0.797,0.04404
0.75,24.0,29.4,4.0,40.0,1000000,0.246,0.01001
3.5,12.0,29.9,1.0,40.0,200000,0.5739,0.01084
-3.5,18.0,30.0,0.0,0.0,200000,-0.3809,0.0141
5.25,10.0,29.9,1.0,50.0,1000000,0.7051,0.00944
2.5,12.0,29.9,1.0,40.0,200000,0.4835,0.01027
-16.5,12.0,30.0,2.0,40.0,1000000,-1.279,0.04253
-15.75,24.0,29.4,4.0,40.0,1000000,-0.911,0.02588
3.5,21.0,30.0,4.0,40.0,100000,0.839,0.02765
-5.0,9.0,29.3,6.0,39.6,50000,-0.3892,0.09558
2.0,12.0,30.1,6.0,39.6,50000,0.4843,0.05252
-2.75,24.0,29.7,2.0,40.0,100000,-0.4175,0.03138
-18.0,24.0,29.7,2.0,40.0,1000000,-1.2033,0.05034
-8.5,14.0,29.5,2.0,39.6,50000,-0.5903,0.07225
-15.0,12.2,22.5,0.0,0.0,1000000,-1.5031,0.02382
-7.75,18.0,30.0,4.0,40.0,200000,-0.4416,0.02299
1.0,24.0,30.0,0.0,0.0,50000,0.2009,0.06052
-7.75,12.2,22.5,0.0,0.0,200000,-0.8506,0.02086
2.5,9.0,30.9,0.0,0.0,50000,0.0913,0.0203
11.0,12.0,30.0,2.0,40.0,100000,1.2486,0.04359
-19.5,24.0,29.7,2.0,40.0,1000000,-1.1504,0.06925
-18.0,21.0,30.0,0.0,0.0,1000000,-1.3809,0.05296
9.0,12.0,29.9,1.0,40.0,200000,1.0101,0.02396
9.5,10.0,29.9,2.0,40.0,1000000,1.2207,0.01594
2.25,12.0,30.1,6.0,39.6,1000000,0.9181,0.00706
12.0,15.0,30.9,4.0,40.2,200000,1.3393,0.0286
-1.75,10.0,29.9,1.0,50.0,1000000,-0.0653,0.00553
